dataset,configuration,method,rank,windows,token_count,aggregate_nll_sum,aggregate_mean_nll,perplexity,model_correction_joint_sha256,evaluator_code_sha256,aggregation
WikiText2-test,BF16_TEACHER,BF16_TEACHER,0,32,65504,145218.8778345564,2.2169467182852403,9.179261165066544,75d6c0bca78b625fce695f3ed8c527237ffc7c697f0032368290f87d290d20c0,22c732311a378cd947d053ffae10064e81be2757b2bc207b373d74af26db813d,exp(sum_window_nll_sum/sum_window_token_count)
WikiText2-test,INT4_WQ,INT4_WQ,0,32,65504,156338.19217713547,2.386696876177569,10.877504792245437,ae94130257842b554754837056c4f5d100cbf64df62ba52b767d5f460f0f2f1e,22c732311a378cd947d053ffae10064e81be2757b2bc207b373d74af26db813d,exp(sum_window_nll_sum/sum_window_token_count)
WikiText2-test,QERA_APPROX_DIAG_LAMBDA_R8,QERA_APPROX_DIAG_LAMBDA,8,32,65504,152246.4961762722,2.3242320495889137,10.218829517424492,1d8e0b1852a97b0284a9373763dc2add9d3b5049a9d7146ff145c7d7db4964fb,22c732311a378cd947d053ffae10064e81be2757b2bc207b373d74af26db813d,exp(sum_window_nll_sum/sum_window_token_count)
WikiText2-test,DIAG_FISHER_CE_RAW_R8,DIAG_FISHER_CE_RAW,8,32,65504,151951.25378454773,2.3197248074094365,10.172874421171777,0d010237b4db557d6d903af24d0543d443e188a956a79fa0dd7cbad29debdbdd,22c732311a378cd947d053ffae10064e81be2757b2bc207b373d74af26db813d,exp(sum_window_nll_sum/sum_window_token_count)
WikiText2-test,QERA_APPROX_DIAG_LAMBDA_R16,QERA_APPROX_DIAG_LAMBDA,16,32,65504,151701.4977456389,2.3159119709580924,10.134160766082116,8cc9cb4cf84e60747e10894f26fab1ceac3319d4302aa5bc194ee969763b36ce,22c732311a378cd947d053ffae10064e81be2757b2bc207b373d74af26db813d,exp(sum_window_nll_sum/sum_window_token_count)
WikiText2-test,DIAG_FISHER_CE_RAW_R16,DIAG_FISHER_CE_RAW,16,32,65504,151163.22386789884,2.307694550987708,10.051225335343133,5136df79e521cc66f0cd5681a832eb89bc83e849803c81df3213a558467a6b1b,22c732311a378cd947d053ffae10064e81be2757b2bc207b373d74af26db813d,exp(sum_window_nll_sum/sum_window_token_count)
WikiText2-test,QERA_APPROX_DIAG_LAMBDA_R32,QERA_APPROX_DIAG_LAMBDA,32,32,65504,150758.5773275446,2.3015171184590955,9.98932595546891,b4cd52d74a88a5fc5393441cb722f446be5ec1f91b97855add255721f0a92824,22c732311a378cd947d053ffae10064e81be2757b2bc207b373d74af26db813d,exp(sum_window_nll_sum/sum_window_token_count)
WikiText2-test,DIAG_FISHER_CE_RAW_R32,DIAG_FISHER_CE_RAW,32,32,65504,150466.65188734984,2.2970605136686286,9.944906530991224,551215be4139daae0fbfa861fcf296075a63188b95cb5b2e4106de0f7512eb18,22c732311a378cd947d053ffae10064e81be2757b2bc207b373d74af26db813d,exp(sum_window_nll_sum/sum_window_token_count)
WikiText2-test,QERA_APPROX_DIAG_LAMBDA_R64,QERA_APPROX_DIAG_LAMBDA,64,32,65504,149968.85691878918,2.2894610545736014,9.869617062564263,a7f881f6f7b4bdb1ada4b4c14af748066766fb0cd3bb15b2f2d04fd0b51ff963,22c732311a378cd947d053ffae10064e81be2757b2bc207b373d74af26db813d,exp(sum_window_nll_sum/sum_window_token_count)
WikiText2-test,DIAG_FISHER_CE_RAW_R64,DIAG_FISHER_CE_RAW,64,32,65504,149514.98859171936,2.2825321902741718,9.801468195025363,28ef6798d430f78a020e8268f1e8a1195e9a6154e55dac87461c652ddb3898d6,22c732311a378cd947d053ffae10064e81be2757b2bc207b373d74af26db813d,exp(sum_window_nll_sum/sum_window_token_count)
C4-validation,BF16_TEACHER,BF16_TEACHER,0,32,65504,182333.39572231186,2.783545977685513,16.17628009645505,75d6c0bca78b625fce695f3ed8c527237ffc7c697f0032368290f87d290d20c0,22c732311a378cd947d053ffae10064e81be2757b2bc207b373d74af26db813d,exp(sum_window_nll_sum/sum_window_token_count)
C4-validation,INT4_WQ,INT4_WQ,0,32,65504,192018.4751474024,2.931400756402699,18.753881726495305,ae94130257842b554754837056c4f5d100cbf64df62ba52b767d5f460f0f2f1e,22c732311a378cd947d053ffae10064e81be2757b2bc207b373d74af26db813d,exp(sum_window_nll_sum/sum_window_token_count)
C4-validation,QERA_APPROX_DIAG_LAMBDA_R8,QERA_APPROX_DIAG_LAMBDA,8,32,65504,188189.15116149496,2.872941364824972,17.688971474097748,1d8e0b1852a97b0284a9373763dc2add9d3b5049a9d7146ff145c7d7db4964fb,22c732311a378cd947d053ffae10064e81be2757b2bc207b373d74af26db813d,exp(sum_window_nll_sum/sum_window_token_count)
C4-validation,DIAG_FISHER_CE_RAW_R8,DIAG_FISHER_CE_RAW,8,32,65504,188045.1775896755,2.8707434292512746,17.650134950156154,0d010237b4db557d6d903af24d0543d443e188a956a79fa0dd7cbad29debdbdd,22c732311a378cd947d053ffae10064e81be2757b2bc207b373d74af26db813d,exp(sum_window_nll_sum/sum_window_token_count)
C4-validation,QERA_APPROX_DIAG_LAMBDA_R16,QERA_APPROX_DIAG_LAMBDA,16,32,65504,187423.88501888132,2.8612586257157018,17.483518299962412,8cc9cb4cf84e60747e10894f26fab1ceac3319d4302aa5bc194ee969763b36ce,22c732311a378cd947d053ffae10064e81be2757b2bc207b373d74af26db813d,exp(sum_window_nll_sum/sum_window_token_count)
C4-validation,DIAG_FISHER_CE_RAW_R16,DIAG_FISHER_CE_RAW,16,32,65504,187295.01724009172,2.8592912988533787,17.449156316472376,5136df79e521cc66f0cd5681a832eb89bc83e849803c81df3213a558467a6b1b,22c732311a378cd947d053ffae10064e81be2757b2bc207b373d74af26db813d,exp(sum_window_nll_sum/sum_window_token_count)
C4-validation,QERA_APPROX_DIAG_LAMBDA_R32,QERA_APPROX_DIAG_LAMBDA,32,32,65504,186915.52230475727,2.8534978368459525,17.348357561106713,b4cd52d74a88a5fc5393441cb722f446be5ec1f91b97855add255721f0a92824,22c732311a378cd947d053ffae10064e81be2757b2bc207b373d74af26db813d,exp(sum_window_nll_sum/sum_window_token_count)
C4-validation,DIAG_FISHER_CE_RAW_R32,DIAG_FISHER_CE_RAW,32,32,65504,186750.31876934983,2.850975799483235,17.304659482411825,551215be4139daae0fbfa861fcf296075a63188b95cb5b2e4106de0f7512eb18,22c732311a378cd947d053ffae10064e81be2757b2bc207b373d74af26db813d,exp(sum_window_nll_sum/sum_window_token_count)
C4-validation,QERA_APPROX_DIAG_LAMBDA_R64,QERA_APPROX_DIAG_LAMBDA,64,32,65504,186284.4007179525,2.8438629811607306,17.18201128763039,a7f881f6f7b4bdb1ada4b4c14af748066766fb0cd3bb15b2f2d04fd0b51ff963,22c732311a378cd947d053ffae10064e81be2757b2bc207b373d74af26db813d,exp(sum_window_nll_sum/sum_window_token_count)
C4-validation,DIAG_FISHER_CE_RAW_R64,DIAG_FISHER_CE_RAW,64,32,65504,186157.5309511774,2.8419261564359033,17.14876494990376,28ef6798d430f78a020e8268f1e8a1195e9a6154e55dac87461c652ddb3898d6,22c732311a378cd947d053ffae10064e81be2757b2bc207b373d74af26db813d,exp(sum_window_nll_sum/sum_window_token_count)
