dataset,configuration,method,rank,windows,sequence_length,token_count,aggregate_nll_sum,aggregate_mean_nll,perplexity,model_correction_joint_sha256,evaluator_bundle_sha256,aggregation,delta_ppl_vs_bf16,relative_ppl_change_vs_bf16_percent,delta_ppl_vs_int4,relative_ppl_change_vs_int4_percent
WikiText2-test-prefix144,BF16_TEACHER,BF16_TEACHER,0,144,2048,294768,667655.8725566638,2.2650215510389997,9.631332164088764,75d6c0bca78b625fce695f3ed8c527237ffc7c697f0032368290f87d290d20c0,d3404fcafa72a853ed4a8ce513f01b9a1d7af91b6c3464152ac0ff8c0d8a797c,exp(sum_window_nll_sum/sum_window_token_count),0.0,0.0,-1.7834822574965017,-15.624277291131072
WikiText2-test-prefix144,INT4_WQ,INT4_WQ,0,144,2048,294768,717734.1470284226,2.4349120224326337,11.414814421585266,ae94130257842b554754837056c4f5d100cbf64df62ba52b767d5f460f0f2f1e,d3404fcafa72a853ed4a8ce513f01b9a1d7af91b6c3464152ac0ff8c0d8a797c,exp(sum_window_nll_sum/sum_window_token_count),1.7834822574965017,18.51750336413862,0.0,0.0
WikiText2-test-prefix144,QERA_APPROX_DIAG_LAMBDA_R8,QERA_APPROX_DIAG_LAMBDA,8,144,2048,294768,700146.4250733535,2.3752457019532427,10.753655055558466,1d8e0b1852a97b0284a9373763dc2add9d3b5049a9d7146ff145c7d7db4964fb,d3404fcafa72a853ed4a8ce513f01b9a1d7af91b6c3464152ac0ff8c0d8a797c,exp(sum_window_nll_sum/sum_window_token_count),1.122322891469702,11.652831325394185,-0.6611593660267996,-5.792116644284251
WikiText2-test-prefix144,DIAG_FISHER_CE_RAW_R8,DIAG_FISHER_CE_RAW,8,144,2048,294768,698413.2803039001,2.3693660109099364,10.690612403523051,0d010237b4db557d6d903af24d0543d443e188a956a79fa0dd7cbad29debdbdd,d3404fcafa72a853ed4a8ce513f01b9a1d7af91b6c3464152ac0ff8c0d8a797c,exp(sum_window_nll_sum/sum_window_token_count),1.0592802394342868,10.99827335811241,-0.7242020180622148,-6.344404659726733
WikiText2-test-prefix144,QERA_APPROX_DIAG_LAMBDA_R16,QERA_APPROX_DIAG_LAMBDA,16,144,2048,294768,697590.6332829883,2.366575182119458,10.660818329058007,8cc9cb4cf84e60747e10894f26fab1ceac3319d4302aa5bc194ee969763b36ce,d3404fcafa72a853ed4a8ce513f01b9a1d7af91b6c3464152ac0ff8c0d8a797c,exp(sum_window_nll_sum/sum_window_token_count),1.0294861649692422,10.688928046815448,-0.7539960925272595,-6.605417001799541
WikiText2-test-prefix144,DIAG_FISHER_CE_RAW_R16,DIAG_FISHER_CE_RAW,16,144,2048,294768,695011.1288143933,2.3578242170601738,10.567932891723775,5136df79e521cc66f0cd5681a832eb89bc83e849803c81df3213a558467a6b1b,d3404fcafa72a853ed4a8ce513f01b9a1d7af91b6c3464152ac0ff8c0d8a797c,exp(sum_window_nll_sum/sum_window_token_count),0.9366007276350103,9.72451901438105,-0.8468815298614913,-7.419144092785679
WikiText2-test-prefix144,QERA_APPROX_DIAG_LAMBDA_R32,QERA_APPROX_DIAG_LAMBDA,32,144,2048,294768,693578.5593810602,2.3529642273959865,10.51669744980351,b4cd52d74a88a5fc5393441cb722f446be5ec1f91b97855add255721f0a92824,d3404fcafa72a853ed4a8ce513f01b9a1d7af91b6c3464152ac0ff8c0d8a797c,exp(sum_window_nll_sum/sum_window_token_count),0.8853652857147463,9.19255270850179,-0.8981169717817554,-7.86799450793898
WikiText2-test-prefix144,DIAG_FISHER_CE_RAW_R32,DIAG_FISHER_CE_RAW,32,144,2048,294768,691998.8615754691,2.3476051049485327,10.460487931800987,551215be4139daae0fbfa861fcf296075a63188b95cb5b2e4106de0f7512eb18,d3404fcafa72a853ed4a8ce513f01b9a1d7af91b6c3464152ac0ff8c0d8a797c,exp(sum_window_nll_sum/sum_window_token_count),0.8291557677122228,8.60894166648929,-0.9543264897842789,-8.360420542445791
WikiText2-test-prefix144,QERA_APPROX_DIAG_LAMBDA_R64,QERA_APPROX_DIAG_LAMBDA,64,144,2048,294768,689952.6736621007,2.3406634155067736,10.388125921047937,a7f881f6f7b4bdb1ada4b4c14af748066766fb0cd3bb15b2f2d04fd0b51ff963,d3404fcafa72a853ed4a8ce513f01b9a1d7af91b6c3464152ac0ff8c0d8a797c,exp(sum_window_nll_sum/sum_window_token_count),0.7567937569591727,7.857622850771806,-1.026688500537329,-8.99435122305514
WikiText2-test-prefix144,DIAG_FISHER_CE_RAW_R64,DIAG_FISHER_CE_RAW,64,144,2048,294768,687675.9091771172,2.3329394953899922,10.308197942299994,28ef6798d430f78a020e8268f1e8a1195e9a6154e55dac87461c652ddb3898d6,d3404fcafa72a853ed4a8ce513f01b9a1d7af91b6c3464152ac0ff8c0d8a797c,exp(sum_window_nll_sum/sum_window_token_count),0.67686577821123,7.027748256206778,-1.1066164792852717,-9.694563909796683
