Configuration,A,G,Rank,NLL,PPL,Token count,Role,PPL - BF16 PPL,PPL - MXINT Wq PPL,NLL recovery vs MXINT Wq,Dataset
BF16_TEACHER,-,-,0,2.8375859642007013,17.07449729795132,65504,anchor,0.0,-4.22028610096034,1.0,C4-validation
MXINT4_B32_WQ,-,-,0,3.058462131870602,21.29478339891166,65504,anchor,4.22028610096034,0.0,0.0,C4-validation
AD_GI_R8,diag,I,8,2.95680828368891,19.23647629451749,65504,factorial,2.1619789965661695,-2.0583071043941708,0.46023004316886656,C4-validation
AD_GD_R8,diag,diag,8,2.9653555544985295,19.401600341531314,65504,factorial,2.327103043579992,-1.893183057380348,0.42153292659088615,C4-validation
AD_GF_R8,diag,full,8,2.9693012821854885,19.478305001504108,65504,factorial,2.4038077035527863,-1.816478397407554,0.4036689454806385,C4-validation
AF_GI_R8,full,I,8,2.9520438399639697,19.145043172688236,65504,factorial,2.070545874736915,-2.1497402262234253,0.4818006986868515,C4-validation
AF_GD_R8,full,diag,8,2.9490507901320195,19.087826772919094,65504,factorial,2.0133294749677724,-2.206956625992568,0.4953515034817955,C4-validation
AF_GF_R8,full,full,8,2.933241891802718,18.78844196730849,65504,factorial,1.7139446693571685,-2.506341431603172,0.5669250847154569,C4-validation
AD_GI_R16,diag,I,16,2.9220934074794633,18.58014258520937,65504,factorial,1.505645287258048,-2.7146408137022924,0.6173989970477107,C4-validation
AD_GD_R16,diag,diag,16,2.9587610305075396,19.274076962747586,65504,factorial,2.199579664796264,-2.020706436164076,0.4513891309091602,C4-validation
AD_GF_R16,diag,full,16,2.9721814858533024,19.534487356485947,65504,factorial,2.4599900585346255,-1.7602960424257148,0.3906290430855625,C4-validation
AF_GI_R16,full,I,16,2.963538548158659,19.36637951862654,65504,factorial,2.2918822206752196,-1.9284038802851207,0.42975928418771786,C4-validation
AF_GD_R16,full,diag,16,2.9542621857077735,19.187560639510185,65504,factorial,2.1130633415588633,-2.107222759401477,0.4717573075541369,C4-validation
AF_GF_R16,full,full,16,2.976397731527487,19.61702342820943,65504,factorial,2.542526130258107,-1.6777599707022333,0.37154031242411,C4-validation
AD_GI_R32,diag,I,32,2.933284088798056,18.78923479983405,65504,factorial,1.7147375018827269,-2.5055485990776134,0.5667340410379833,C4-validation
AD_GD_R32,diag,diag,32,2.9293807655984296,18.716037293435065,65504,factorial,1.6415399954837433,-2.578746105476597,0.5844060390665796,C4-validation
AD_GF_R32,diag,full,32,2.951592824002615,19.1364103995421,65504,factorial,2.061913101590779,-2.1583729993695613,0.4838426390469764,C4-validation
AF_GI_R32,full,I,32,2.9364709828271223,18.84920961595992,65504,factorial,1.7747123180086,-2.4455737829517403,0.5523056214276383,C4-validation
AF_GD_R32,full,diag,32,2.947066997796459,19.049998023062525,65504,factorial,1.9755007251112033,-2.244785375849137,0.5043329719511558,C4-validation
AF_GF_R32,full,full,32,2.9734650642171996,19.55957750094502,65504,factorial,2.4850802029937,-1.7352058979666403,0.38481773995839375,C4-validation
AD_GI_R64,diag,I,64,2.9505858729854464,19.117150670054798,65504,factorial,2.0426533721034765,-2.1776327288568638,0.48840153296383076,C4-validation
AD_GD_R64,diag,diag,64,2.929974625967142,18.727155307190106,65504,factorial,1.6526580092387846,-2.5676280917215557,0.5817173815487613,C4-validation
AD_GF_R64,diag,full,64,2.9235294504980107,18.60684363659307,65504,factorial,1.532346338641748,-2.6879397623185923,0.6108974218270941,C4-validation
AF_GI_R64,full,I,64,2.9206656820505397,18.55363417103883,65504,factorial,1.4791368730875085,-2.7411492278728318,0.6238629150157977,C4-validation
AF_GD_R64,full,diag,64,2.9208413892494685,18.556894464549103,65504,factorial,1.4823971665977815,-2.7378889343625588,0.6230674140761427,C4-validation
AF_GF_R64,full,full,64,2.9178896798480225,18.50220066450872,65504,factorial,1.4277033665573988,-2.7925827344029415,0.6364310532255565,C4-validation
INT4_SYM_RTN_G128_WQ_CONTEXT_ONLY,-,-,0,2.998658419388083,20.058608623552814,65504,context-only,2.984111325601493,-1.2361747753588475,0.270756746250213,C4-validation
