Configuration,A,G,Rank,NLL,PPL,Token count,Role,PPL - BF16 PPL,PPL - MXINT Wq PPL,NLL recovery vs MXINT Wq,Dataset
BF16_TEACHER,-,-,0,2.3074402171710253,10.048669293898925,298862,anchor,0.0,-2.4658419556573463,1.0,WikiText2-full146
MXINT4_B32_WQ,-,-,0,2.5268888709494504,12.514511249556271,298862,anchor,2.4658419556573463,0.0,0.0,WikiText2-full146
AD_GI_R8,diag,I,8,2.433833996188847,11.402515582497575,298862,factorial,1.3538462885986497,-1.1119956670586966,0.4240393967263066,WikiText2-full146
AD_GD_R8,diag,diag,8,2.4401465299236267,11.474722009753592,298862,factorial,1.4260527158546665,-1.0397892398026798,0.39527397198529407,WikiText2-full146
AD_GF_R8,diag,full,8,2.4452350019389284,11.533259618768986,298862,factorial,1.4845903248700605,-0.9812516307872858,0.3720864430226444,WikiText2-full146
AF_GI_R8,full,I,8,2.431891921965132,11.380392540147817,298862,factorial,1.3317232462488917,-1.1341187094084546,0.43288918545946387,WikiText2-full146
AF_GD_R8,full,diag,8,2.4277427354001264,11.33327099396163,298862,factorial,1.284601700062705,-1.1812402555946413,0.4517965083961314,WikiText2-full146
AF_GF_R8,full,full,8,2.4002435697941134,11.025861620451488,298862,factorial,0.9771923265525633,-1.488649629104783,0.5771067581175933,WikiText2-full146
AD_GI_R16,diag,I,16,2.4117663987372633,11.15364554009974,298862,factorial,1.104976246200815,-1.3608657094565313,0.5245986713977522,WikiText2-full146
AD_GD_R16,diag,diag,16,2.437445097452768,11.443765655198996,298862,factorial,1.3950963613000713,-1.070745594357275,0.40758406103959444,WikiText2-full146
AD_GF_R16,diag,full,16,2.4528083409010666,11.620936487461254,298862,factorial,1.572267193562329,-0.8935747620950174,0.33757568694489276,WikiText2-full146
AF_GI_R16,full,I,16,2.4287085859532622,11.344222527941202,298862,factorial,1.295553234042277,-1.1702887216150692,0.44739524852733764,WikiText2-full146
AF_GD_R16,full,diag,16,2.4301453070206405,11.360532725236574,298862,factorial,1.311863431337649,-1.1539785243196974,0.44084829076459425,WikiText2-full146
AF_GF_R16,full,full,16,2.444395081688767,11.523576667487493,298862,factorial,1.474907373588568,-0.9909345820687783,0.3759138542903822,WikiText2-full146
AD_GI_R32,diag,I,32,2.411878950693589,11.154900975374964,298862,factorial,1.1062316814760393,-1.359610274181307,0.5240857862449487,WikiText2-full146
AD_GD_R32,diag,diag,32,2.4133435766795017,11.171250703409363,298862,factorial,1.1225814095104383,-1.343260546146908,0.5174116692672633,WikiText2-full146
AD_GF_R32,diag,full,32,2.434752774297851,11.412996778411724,298862,factorial,1.364327484512799,-1.1015144711445473,0.4198526400833062,WikiText2-full146
AF_GI_R32,full,I,32,2.408267820844723,11.114691823430837,298862,factorial,1.066022529531912,-1.3998194261254344,0.5405412521896715,WikiText2-full146
AF_GD_R32,full,diag,32,2.401393963297475,11.03855299866849,298862,factorial,0.9898837047695643,-1.475958250887782,0.5718645591632858,WikiText2-full146
AF_GF_R32,full,full,32,2.415254194203266,11.192615093855894,298862,factorial,1.1439457999569687,-1.3218961557003777,0.5087052247716259,WikiText2-full146
AD_GI_R64,diag,I,64,2.412335409771695,11.159993893456466,298862,factorial,1.1113245995575411,-1.3545173560998052,0.5220057594585148,WikiText2-full146
AD_GD_R64,diag,diag,64,2.4068824183061155,11.099304162676134,298862,factorial,1.050634868777209,-1.4152070868801374,0.5468543578513091,WikiText2-full146
AD_GF_R64,diag,full,64,2.3983201075099094,11.004674174632441,298862,factorial,0.9560048807335164,-1.50983707492383,0.5858717345760318,WikiText2-full146
AF_GI_R64,full,I,64,2.381699959223494,10.823286379399947,298862,factorial,0.7746170855010224,-1.691224870156324,0.6616076664227426,WikiText2-full146
AF_GD_R64,full,diag,64,2.3872081215089938,10.88306728756675,298862,factorial,0.8343979936678245,-1.6314439619895218,0.6365076615210898,WikiText2-full146
AF_GF_R64,full,full,64,2.3968184251917317,10.988161051842505,298862,factorial,0.9394917579435802,-1.5263501977137661,0.5927147126135911,WikiText2-full146
INT4_SYM_RTN_G128_WQ_CONTEXT_ONLY,-,-,0,2.509003181702554,12.292670392423187,298862,context-only,2.2440010985242616,-0.22184085713308477,0.08150284332550585,WikiText2-full146
